# Region type : patch outlet
# Faces       : 4
# Area        : 4.500000e-06
# Scale factor: 1.000000e+00
# Time        	average(U)	average(p)
9.75          	(3.266850e+01 -9.448799e-08 0.000000e+00)	1.013477e+05
9.8           	(3.262004e+01 -8.966441e-08 0.000000e+00)	1.013477e+05
9.85          	(3.257890e+01 -8.295683e-08 0.000000e+00)	1.013477e+05
9.9           	(3.254567e+01 -7.774134e-08 0.000000e+00)	1.013477e+05
9.95          	(3.252083e+01 -7.669570e-08 0.000000e+00)	1.013477e+05
10            	(3.250475e+01 -7.374235e-08 0.000000e+00)	1.013477e+05
10.05         	(3.249766e+01 -6.065863e-08 0.000000e+00)	1.013477e+05
10.1          	(3.249966e+01 -4.996824e-08 0.000000e+00)	1.013477e+05
10.15         	(3.251072e+01 -4.550883e-08 0.000000e+00)	1.013477e+05
10.2          	(3.253069e+01 -4.278509e-08 0.000000e+00)	1.013477e+05
10.25         	(3.255929e+01 -3.973519e-08 0.000000e+00)	1.013477e+05
10.3          	(3.259608e+01 -3.077506e-08 0.000000e+00)	1.013477e+05
10.35         	(3.264055e+01 -2.866766e-08 0.000000e+00)	1.013477e+05
10.4          	(3.269206e+01 -2.089057e-08 0.000000e+00)	1.013477e+05
10.45         	(3.274986e+01 -1.489421e-08 0.000000e+00)	1.013477e+05
10.5          	(3.281314e+01 -1.388151e-08 0.000000e+00)	1.013477e+05
10.55         	(3.288100e+01 -8.703007e-09 0.000000e+00)	1.013477e+05
10.6          	(3.295248e+01 -8.195639e-09 0.000000e+00)	1.013477e+05
10.65         	(3.302657e+01 -2.219629e-09 0.000000e+00)	1.013477e+05
10.7          	(3.310226e+01 3.179683e-10 0.000000e+00)	1.013477e+05
10.75         	(3.317849e+01 2.837139e-09 0.000000e+00)	1.013477e+05
10.8          	(3.325422e+01 3.653798e-09 0.000000e+00)	1.013477e+05
10.85         	(3.332841e+01 -8.290828e-10 0.000000e+00)	1.013477e+05
10.9          	(3.340006e+01 3.577992e-09 0.000000e+00)	1.013477e+05
10.95         	(3.346821e+01 9.371722e-09 0.000000e+00)	1.013477e+05
11            	(3.353194e+01 1.252499e-08 0.000000e+00)	1.013477e+05
11.05         	(3.359040e+01 9.702635e-09 0.000000e+00)	1.013477e+05
11.1          	(3.364284e+01 -2.085757e-09 0.000000e+00)	1.013477e+05
11.15         	(3.368855e+01 -4.002029e-09 0.000000e+00)	1.013477e+05
11.2          	(3.372694e+01 9.842424e-09 0.000000e+00)	1.013477e+05
11.25         	(3.375750e+01 7.250821e-09 0.000000e+00)	1.013477e+05
11.3          	(3.377983e+01 1.434576e-08 0.000000e+00)	1.013477e+05
11.35         	(3.379364e+01 2.331094e-08 0.000000e+00)	1.013477e+05
11.4          	(3.379876e+01 1.457357e-08 0.000000e+00)	1.013477e+05
11.45         	(3.379513e+01 3.010136e-09 0.000000e+00)	1.013477e+05
